User_ID,Age,Gender,Influencer_Type,Follower_Count,Content_Format,Product_Category,Product_Price_THB,Aesthetic_Score,Social_Proof_Comments,Discount_Code_Available,Time_Spent_Watching_Seconds,Purchase_Intent
49,17,Male,Macro,5855769,TikTok/Reels,Tech,3221.0,3.0,3627.0,No,28,1
50,21,Male,Micro,470596,Static Post,Beauty,4975.0,2.0,1166.0,Y,75,1
51,19,Male,Micro,1134435,Carousel,Beauty,2827.0,5.0,2548.0,Yes,124,1
52,23,Female,Celebrity,4059518,TikTok/Reels,Beauty,1031.0,10.0,1550.0,No,157,1
53,21,Male,Macro,5025475,Live Stream,Health,1922.0,10.0,2140.0,No,46,0
54,16,Male,Mega,2667829,Carousel,Tech,3599.0,5.0,3520.0,Yes,162,1
55,18,Male,Micro,8035508,Carousel,Health,4172.0,,3654.0,No,129,0
56,23,Female,Micro,3596195,Carousel,Beauty,3444.0,2.0,620.0,Yes,61,0
57,26,Male,Mega,5174602,Carousel,Home,959.0,5.0,2523.0,Yes,179,1
58,16,Female,Mega,2115732,Carousel,Beauty,1329.0,1.0,4767.0,No,127,0
59,24,Male,Micro,6686495,Carousel,Health,2294.0,3.0,4896.0,Y,175,1
60,23,Male,Celebrity,5502953,Static Post,Beauty,4494.0,3.0,170.0,No,36,0
61,24,Male,Celebrity,224080,Static Post,Beauty,1575.0,3.0,2419.0,Y,42,0
62,19,Male,Celebrity,3550551,Carousel,Health,2122.0,3.0,2779.0,No,134,1
63,16,Female,Macro,6899199,Live Stream,Health,2695.0,8.0,1416.0,Yes,6,1
64,18,Non-binary,Micro,5618564,Static Post,Home,2529.0,1.0,938.0,Yes,151,0
65,26,Female,Macro,3100586,Static Post,Health,3788.0,6.0,4930.0,Y,35,0
66,26,Male,Macro,2474836,Carousel,Home,632.0,6.0,2031.0,Yes,146,0
67,21,Male,Micro,7286315,Live Stream,Fashion,1355.0,1.0,3177.0,N,52,0
68,26,Male,Mega,2765481,Carousel,Fashion,1756.0,1.0,2771.0,Yes,178,1
69,27,Female,Micro,7096221,Live Stream,Health,1251.0,3.0,3796.0,Y,138,1
70,22,Male,Macro,2568604,Live Stream,Beauty,3992.0,8.0,2884.0,N,126,0
71,17,Male,Micro,3536054,TikTok/Reels,Tech,1851.0,6.0,1731.0,Yes,144,0
72,15,Female,Mega,7046663,Static Post,Beauty,1782.0,4.0,1272.0,Yes,110,0
73,18,Non-binary,Micro,9187985,Carousel,Health,3077.0,5.0,1752.0,No,158,1
74,16,Female,Mega,2144678,Static Post,Home,4431.0,10.0,,Y,154,0
75,22,Female,Macro,6000410,Static Post,Beauty,3752.0,3.0,3487.0,Yes,86,1
76,18,Female,Mega,3361966,Live Stream,Fashion,3112.0,6.0,1691.0,Yes,29,0
77,16,Female,Celebrity,6802196,Static Post,Health,799.0,6.0,4165.0,Y,152,1
78,20,Non-binary,Macro,7578676,TikTok/Reels,Beauty,4769.0,6.0,1257.0,No,104,1
79,20,Female,Celebrity,3499352,Carousel,Beauty,3163.0,9.0,431.0,Yes,101,0
80,24,Female,Micro,1531688,Static Post,Home,4965.0,10.0,4265.0,Yes,4,1
81,18,Female,Micro,9422148,Carousel,Home,1863.0,8.0,2083.0,Yes,34,1
82,20,Male,Micro,3282401,Static Post,Home,4417.0,6.0,3905.0,Yes,70,0
83,27,Male,Micro,6043242,Carousel,Tech,1221.0,2.0,4354.0,Yes,91,0
84,16,Female,Mega,7869653,Carousel,Health,3929.0,4.0,2298.0,No,18,1
85,24,Female,Micro,9227377,Carousel,Health,3057.0,6.0,2104.0,Yes,82,0
86,26,Male,Macro,2118347,Static Post,Fashion,2419.0,9.0,1184.0,Yes,112,1
87,16,Female,Macro,4808821,TikTok/Reels,Fashion,1521.0,2.0,436.0,No,68,0
88,24,Male,Macro,7601807,Carousel,Health,1639.0,6.0,4325.0,Yes,68,1
89,18,Female,Macro,5415806,Live Stream,Beauty,4624.0,10.0,4926.0,Yes,35,1
90,22,Male,Mega,9731886,Live Stream,Health,621.0,10.0,4936.0,No,9,0
91,21,Female,Micro,1838993,Live Stream,Tech,3106.0,10.0,4715.0,Yes,46,1
92,26,Male,Micro,3994954,TikTok/Reels,Fashion,2597.0,7.0,2399.0,No,61,0
93,23,Female,Macro,44585,Carousel,Fashion,2188.0,8.0,621.0,No,71,0
94,22,Non-binary,Macro,5459766,TikTok/Reels,Fashion,1837.0,9.0,3713.0,Yes,102,0
95,19,Female,Macro,4497712,Carousel,Health,4288.0,5.0,634.0,Yes,110,0
96,27,Male,Mega,6718998,TikTok/Reels,Fashion,2632.0,9.0,3012.0,No,151,1
97,16,Female,Macro,928510,Carousel,Fashion,2663.0,9.0,1993.0,No,162,1
98,19,Female,Macro,439292,Live Stream,Health,2863.0,7.0,2675.0,Yes,179,1
99,22,Male,Micro,1249509,Carousel,Beauty,597.0,2.0,2340.0,No,113,1
100,24,Female,Macro,7044135,TikTok/Reels,Fashion,2517.0,8.0,1409.0,Yes,175,1
101,23,Male,Mega,757701,Carousel,Fashion,2845.0,,3816.0,Yes,53,1
102,26,Non-binary,Micro,7746665,Static Post,Fashion,583.0,8.0,828.0,No,120,1
103,26,Male,Micro,6454828,Carousel,Tech,763.0,2.0,2281.0,Yes,75,1
104,26,Female,Mega,6253446,Live Stream,Health,3553.0,7.0,536.0,No,67,0
105,27,Male,Micro,9147947,Carousel,Fashion,726.0,5.0,1402.0,Y,150,0
106,23,Female,Micro,1362349,Static Post,Tech,1783.0,4.0,804.0,No,153,0
107,27,Male,Macro,7761854,Static Post,Beauty,830.0,10.0,,Yes,177,1
108,27,Male,Micro,1613780,Static Post,Beauty,4386.0,6.0,851.0,Yes,122,1
109,15,Male,Mega,62330,TikTok/Reels,Tech,1343.0,5.0,2225.0,Yes,14,0
110,23,Male,Micro,6276178,Static Post,Beauty,2273.0,6.0,555.0,Yes,65,0
111,21,Male,Mega,364116,TikTok/Reels,Home,3973.0,9.0,3143.0,No,6,1
112,23,Female,Macro,1431343,Static Post,Beauty,2873.0,1.0,4323.0,No,147,1
113,22,Male,Mega,2473512,TikTok/Reels,Home,3177.0,1.0,1864.0,No,117,1
114,15,Female,Micro,4180077,Static Post,Tech,4890.0,6.0,4349.0,Yes,38,1
115,26,Male,Macro,6619991,Static Post,Home,1238.0,2.0,2094.0,No,55,1
116,22,Male,Macro,7708133,Carousel,Beauty,4758.0,8.0,3478.0,Yes,33,1
117,22,Male,Macro,5891714,Static Post,Fashion,,7.0,2930.0,Yes,29,1
118,25,Female,Macro,588699,Carousel,Home,2539.0,6.0,2627.0,Yes,87,0
119,17,Male,Mega,765797,Static Post,Beauty,4217.0,4.0,253.0,No,46,0
120,15,Female,Celebrity,5900128,Static Post,Fashion,3301.0,9.0,3520.0,Yes,29,0
121,22,Male,Micro,4696039,Carousel,Tech,3297.0,7.0,58.0,Yes,66,1
122,17,Female,Micro,4322878,Carousel,Tech,4639.0,7.0,3702.0,Yes,71,0
123,17,Female,Mega,3859223,TikTok/Reels,Health,4971.0,5.0,1721.0,Yes,43,0
124,15,Female,Micro,1079000,Live Stream,Tech,2143.0,1.0,2607.0,No,162,0
125,25,Male,Celebrity,4706230,Carousel,Health,806.0,2.0,264.0,Yes,17,0
126,19,Female,Macro,249290,TikTok/Reels,Tech,531.0,8.0,1707.0,Yes,142,1
127,24,Female,Macro,9711403,Static Post,Tech,571.0,5.0,3214.0,No,150,1
128,21,Non-binary,Micro,8044364,Carousel,Tech,146.0,,,No,60,1
129,24,Female,Micro,1559544,Carousel,Health,2013.0,5.0,3287.0,Yes,48,0
130,23,Male,Macro,3807501,Static Post,Health,1204.0,8.0,2484.0,No,168,0
131,26,Male,Celebrity,2620189,Static Post,Home,3279.0,4.0,2735.0,Yes,111,0
132,21,Non-binary,Celebrity,6359234,Static Post,Beauty,1989.0,3.0,2523.0,No,127,1
133,23,Male,Micro,9915245,Static Post,Beauty,456.0,5.0,3455.0,No,44,1
134,22,Male,Micro,3505179,Live Stream,Beauty,666.0,7.0,937.0,Yes,156,1
135,26,Male,Micro,9268214,Carousel,Tech,578.0,2.0,877.0,No,110,0
136,16,Female,Mega,1099168,Static Post,Beauty,965.0,1.0,2704.0,Yes,166,0
137,15,Male,Micro,9626589,Static Post,Health,3359.0,5.0,546.0,No,115,1
138,21,Female,Micro,2630479,Live Stream,Home,4158.0,7.0,2462.0,No,4,0
139,21,Non-binary,Micro,2237422,Carousel,Fashion,1127.0,8.0,3203.0,Yes,77,1
140,22,Female,Micro,6014753,TikTok/Reels,Home,3456.0,8.0,4493.0,Yes,8,1
141,19,Male,Celebrity,5509848,Carousel,Beauty,1912.0,10.0,3578.0,Yes,21,1
142,17,Female,Macro,2101588,TikTok/Reels,Beauty,3827.0,9.0,3631.0,No,80,0
143,26,Male,Micro,7958870,Live Stream,Health,3625.0,1.0,2215.0,No,66,0
144,22,Female,Micro,4891521,Static Post,Home,4902.0,7.0,3846.0,Yes,116,1
145,20,Male,Micro,7357089,Live Stream,Health,1149.0,10.0,229.0,Yes,143,1
146,25,Male,Micro,4720902,Carousel,Health,225.0,8.0,4798.0,Yes,99,1
147,17,Female,Micro,6023156,Static Post,Fashion,3705.0,6.0,1427.0,No,50,0
148,15,Male,Macro,3737029,Carousel,Health,2477.0,10.0,1699.0,No,75,1
149,17,Male,Micro,847454,TikTok/Reels,Health,1751.0,4.0,3969.0,Yes,38,1
150,19,Male,Micro,2762418,Carousel,Fashion,106.0,7.0,3065.0,Yes,135,1
151,17,Female,Micro,5909108,Live Stream,Tech,4807.0,3.0,2145.0,Yes,7,0
152,15,Female,Mega,2640986,Live Stream,Tech,1383.0,2.0,6.0,Yes,29,0
153,19,Female,Macro,7938175,Live Stream,Fashion,4792.0,6.0,4272.0,Yes,103,1
154,24,Female,Macro,5241888,Static Post,Health,4580.0,2.0,1229.0,Yes,122,1
155,21,Non-binary,Macro,2655589,Carousel,Beauty,277.0,6.0,,No,142,0
156,21,Female,Macro,3345181,Static Post,Home,3694.0,10.0,1823.0,Yes,14,1
157,25,Male,Micro,7633034,Carousel,Beauty,3916.0,,3984.0,Yes,124,0
158,23,Female,Celebrity,5289210,TikTok/Reels,Beauty,3353.0,2.0,2276.0,No,11,1
159,24,Male,Micro,1828916,Carousel,Health,4552.0,8.0,2943.0,No,81,1
160,24,Male,Macro,715564,Carousel,Home,,4.0,630.0,Yes,168,1
161,26,Male,Mega,7695379,Carousel,Home,4896.0,4.0,269.0,Y,100,0
162,27,Female,Macro,9571032,Carousel,Tech,1849.0,7.0,4176.0,No,152,1
163,17,Male,Celebrity,3335055,TikTok/Reels,Fashion,4976.0,8.0,3771.0,Yes,38,1
164,21,Female,Macro,1163108,Static Post,Health,4276.0,9.0,4915.0,Y,122,1
165,15,Female,Mega,425452,Live Stream,Home,3528.0,10.0,500.0,No,9,1
166,18,Female,Mega,6359236,Carousel,Health,283.0,8.0,2750.0,No,87,1
167,27,Male,Celebrity,3016989,Live Stream,Tech,2434.0,4.0,1312.0,No,6,0
168,18,Female,Celebrity,5444157,Live Stream,Beauty,3232.0,2.0,2153.0,Yes,123,1
169,19,Male,Mega,6736618,Live Stream,Home,605.0,10.0,4736.0,Yes,28,0
170,21,Female,Mega,7658509,Live Stream,Tech,4224.0,5.0,608.0,Yes,125,1
171,21,Male,Micro,9072245,Carousel,Health,2031.0,7.0,3043.0,Yes,148,1
172,27,Female,Micro,8046998,Live Stream,Tech,1295.0,2.0,1663.0,Yes,172,1
173,25,Male,Macro,5901173,Carousel,Tech,3784.0,4.0,3294.0,Yes,44,0
174,27,Male,Celebrity,6981330,TikTok/Reels,Tech,4280.0,6.0,1997.0,Yes,36,1
175,18,Male,Mega,4448434,Static Post,Tech,1437.0,8.0,2429.0,No,56,1
176,27,Male,Celebrity,2336560,Static Post,Tech,2719.0,10.0,4199.0,No,62,1
177,21,Female,Mega,9003789,Carousel,Tech,781.0,6.0,2711.0,No,48,1
178,25,Male,Micro,5274724,Carousel,Fashion,3613.0,6.0,3185.0,N,103,1
179,17,Female,Micro,377645,Static Post,Health,,6.0,1531.0,Yes,78,1
180,20,Female,Micro,9963264,Live Stream,Beauty,2259.0,4.0,4216.0,Yes,57,0
181,26,Male,Micro,433911,Carousel,Health,1828.0,3.0,3706.0,Yes,83,1
182,16,Male,Macro,6334966,Live Stream,Home,1516.0,1.0,3074.0,Yes,147,1
183,24,Female,Celebrity,1481929,Carousel,Home,4113.0,2.0,4502.0,No,54,0
184,27,Male,Mega,3259832,Carousel,Health,117.0,2.0,675.0,N,90,0
185,23,Male,Macro,6245994,TikTok/Reels,Tech,2751.0,10.0,1654.0,No,86,0
186,19,Female,Micro,1778346,TikTok/Reels,Fashion,3899.0,7.0,4527.0,Y,140,1
187,20,Female,Micro,9913612,Static Post,Beauty,563.0,6.0,4156.0,No,113,0
188,26,Female,Macro,3972792,TikTok/Reels,Tech,789.0,8.0,3544.0,Yes,130,0
189,26,Female,Micro,3838878,TikTok/Reels,Health,1109.0,,3818.0,Yes,97,1
190,26,Female,Micro,5589592,Static Post,Health,3160.0,5.0,,Yes,9,1
191,26,Female,Macro,8126171,Live Stream,Fashion,4119.0,3.0,1047.0,Yes,148,0
192,18,Female,Micro,3570829,TikTok/Reels,Fashion,261.0,4.0,2453.0,No,17,0
193,25,Male,Celebrity,7406246,Live Stream,Health,1734.0,8.0,1331.0,Yes,67,0
194,24,Male,Micro,3092200,Static Post,Tech,2845.0,3.0,,Yes,13,1
195,21,Non-binary,Micro,3715886,Carousel,Tech,393.0,2.0,2660.0,Yes,94,1
196,26,Female,Micro,2881729,Live Stream,Tech,677.0,7.0,2262.0,Y,75,1
197,23,Male,Micro,5291990,Static Post,Beauty,1684.0,4.0,4357.0,No,87,0
198,21,Male,Macro,4335965,Live Stream,Beauty,3479.0,8.0,763.0,No,99,0
199,15,Male,Mega,2116229,Static Post,Tech,2448.0,1.0,2367.0,No,22,0
200,15,Female,Macro,7143762,Static Post,Health,2270.0,8.0,3408.0,Yes,38,1
201,23,Male,Macro,8636405,Carousel,Fashion,293.0,5.0,1684.0,Y,6,1
202,25,Female,Micro,7612930,Live Stream,Home,940.0,2.0,4464.0,No,161,0
203,23,Female,Macro,9726016,Carousel,Fashion,4106.0,1.0,869.0,No,68,0
204,18,Male,Micro,2891632,Carousel,Fashion,4683.0,6.0,2733.0,Yes,11,0
205,27,Male,Micro,9722896,Live Stream,Home,3030.0,9.0,913.0,N,89,1
206,23,Female,Mega,3090675,Live Stream,Tech,544.0,9.0,3131.0,Yes,85,0
207,17,Non-binary,Mega,2508913,Static Post,Fashion,178.0,9.0,1630.0,No,63,1
208,21,Male,Mega,4147181,Live Stream,Home,4939.0,4.0,542.0,Yes,38,1
209,20,Male,Micro,8484057,Static Post,Health,2844.0,6.0,2203.0,No,176,0
210,22,Non-binary,Micro,6861961,Static Post,Health,3787.0,10.0,2935.0,Yes,50,1
211,25,Female,Celebrity,4189851,Static Post,Health,1959.0,6.0,751.0,Yes,25,0
212,23,Non-binary,Micro,4360122,Static Post,Tech,1029.0,5.0,2111.0,Yes,83,1
213,19,Male,Micro,4309368,Static Post,Fashion,2033.0,2.0,420.0,Yes,155,0
214,15,Female,Micro,3944183,Static Post,Fashion,4466.0,7.0,2370.0,Yes,107,1
215,17,Male,Micro,4814979,Live Stream,Beauty,2270.0,1.0,1486.0,No,56,0
216,24,Male,Micro,2782268,Live Stream,Health,3393.0,6.0,546.0,Yes,8,1
217,26,Male,Macro,6224559,TikTok/Reels,Tech,4880.0,5.0,4961.0,No,170,1
218,22,Non-binary,Macro,5953521,Live Stream,Home,4846.0,5.0,2557.0,Yes,131,1
219,25,Male,Celebrity,8476336,Carousel,Tech,4491.0,8.0,1571.0,Yes,159,1
220,20,Male,Micro,5422211,TikTok/Reels,Fashion,2933.0,9.0,453.0,No,124,0
221,22,Male,Micro,5918079,Live Stream,Health,4815.0,7.0,2691.0,Yes,21,0
222,23,Male,Macro,1155272,Carousel,Beauty,1753.0,10.0,1757.0,No,57,1
223,18,Female,Macro,7333419,Live Stream,Tech,3027.0,8.0,4774.0,No,25,0
224,15,Male,Macro,274591,Static Post,Beauty,3702.0,2.0,4369.0,No,109,0
225,15,Female,Mega,5361834,TikTok/Reels,Fashion,1771.0,2.0,59.0,Yes,141,0
226,24,Male,Micro,2184721,Static Post,Home,4449.0,8.0,4437.0,Yes,92,1
227,18,Male,Mega,238963,TikTok/Reels,Tech,1386.0,6.0,1417.0,No,16,0
228,26,Male,Macro,4029054,TikTok/Reels,Fashion,2825.0,8.0,2160.0,Yes,74,0
229,21,Male,Micro,6986012,Static Post,Health,4223.0,9.0,1338.0,No,177,1
230,16,Male,Mega,4945681,TikTok/Reels,Tech,1157.0,9.0,466.0,Yes,62,0
231,17,Male,Macro,5267440,TikTok/Reels,Beauty,4943.0,6.0,2310.0,Yes,29,0
232,15,Male,Micro,1839042,Live Stream,Tech,700.0,8.0,2471.0,No,111,0
233,19,Female,Micro,8917311,Carousel,Fashion,3373.0,2.0,719.0,No,4,0
234,15,Female,Micro,9572740,Static Post,Fashion,3077.0,8.0,1235.0,Yes,17,1
235,22,Female,Macro,5560011,Live Stream,Beauty,229.0,3.0,562.0,Y,165,0
236,15,Male,Micro,5758662,Live Stream,Fashion,209.0,1.0,982.0,No,133,0
237,25,Male,Micro,1766040,Static Post,Tech,2670.0,7.0,2966.0,Yes,10,0
238,15,Male,Micro,2381232,TikTok/Reels,Beauty,3458.0,1.0,2335.0,Yes,111,0
239,16,Female,Mega,8167076,Static Post,Fashion,2833.0,1.0,4520.0,Yes,13,1
240,16,Male,Mega,9271573,Carousel,Fashion,929.0,1.0,4649.0,Yes,75,0
241,26,Female,Mega,846377,Carousel,Tech,764.0,4.0,,No,45,0
242,20,Female,Micro,606109,Static Post,Fashion,1165.0,4.0,1730.0,N,109,1
243,21,Male,Celebrity,7767127,Live Stream,Tech,3887.0,10.0,4339.0,Yes,148,1
244,19,Female,Macro,148215,Static Post,Health,1416.0,6.0,3047.0,Yes,14,1
245,15,Female,Mega,9757659,Carousel,Tech,383.0,10.0,1357.0,Yes,66,0
246,15,Female,Macro,7491282,Static Post,Home,4758.0,3.0,2375.0,Yes,93,0
247,17,Female,Macro,2190678,TikTok/Reels,Fashion,4213.0,10.0,2762.0,Yes,105,1
248,16,Male,Mega,2289421,Static Post,Health,3677.0,6.0,1785.0,No,117,0
249,19,Female,Micro,8498973,Live Stream,Beauty,4741.0,7.0,1962.0,Yes,132,1
250,26,Male,Macro,522291,TikTok/Reels,Home,146.0,1.0,1188.0,No,110,1
251,24,Male,Mega,299510,Carousel,Beauty,1867.0,6.0,2678.0,No,154,1
252,20,Male,Mega,4641475,Static Post,Home,,10.0,3007.0,No,122,1
253,21,Non-binary,Celebrity,100830,Live Stream,Health,4960.0,1.0,3123.0,Yes,109,1
254,18,Male,Macro,6072223,Live Stream,Health,3358.0,7.0,3143.0,Yes,17,1
255,21,Male,Micro,2907375,Carousel,Health,2177.0,,2800.0,Yes,44,0
256,25,Non-binary,Micro,1320021,Static Post,Home,2405.0,5.0,323.0,No,57,0
257,22,Female,Macro,5370746,Live Stream,Tech,3514.0,10.0,3683.0,No,137,1
258,25,Non-binary,Macro,1153199,TikTok/Reels,Beauty,4502.0,4.0,2202.0,No,104,1
259,15,Female,Micro,2589897,Static Post,Tech,3241.0,1.0,1794.0,Yes,173,0
260,20,Female,Micro,8764576,Carousel,Tech,666.0,9.0,2248.0,Yes,167,1
261,22,Female,Macro,9930317,TikTok/Reels,Fashion,4425.0,7.0,2342.0,No,152,1
262,19,Male,Mega,7158506,Static Post,Beauty,4164.0,,3393.0,No,7,1
263,18,Male,Celebrity,5162058,Live Stream,Home,180.0,4.0,3400.0,No,44,1
264,16,Male,Mega,8198458,Carousel,Fashion,3104.0,4.0,1975.0,Yes,45,0
265,20,Female,Mega,1596164,Carousel,Fashion,315.0,8.0,3045.0,Yes,119,1
266,20,Female,Macro,643313,Static Post,Health,433.0,2.0,1307.0,Y,81,0
267,25,Female,Celebrity,7540339,Carousel,Home,657.0,5.0,1455.0,No,24,0
268,15,Female,Macro,8812309,TikTok/Reels,Tech,3010.0,10.0,962.0,No,145,1
269,23,Non-binary,Mega,5361593,Static Post,Tech,972.0,,1717.0,Yes,10,1
270,26,Female,Celebrity,2671111,TikTok/Reels,Tech,851.0,6.0,2429.0,No,138,0
271,25,Male,Celebrity,2478512,Carousel,Health,3860.0,4.0,2539.0,Yes,60,0
272,20,Male,Micro,3953430,Carousel,Tech,692.0,5.0,3618.0,Yes,152,1
273,27,Female,Micro,2742310,Carousel,Beauty,2850.0,2.0,2378.0,Yes,70,0
274,17,Male,Micro,5371777,TikTok/Reels,Tech,1777.0,5.0,874.0,Y,148,0
275,18,Female,Micro,2867966,Carousel,Tech,3996.0,3.0,3670.0,Yes,36,1
276,26,Female,Micro,1908273,Static Post,Beauty,4747.0,3.0,2205.0,Yes,98,1
277,25,Female,Micro,8671202,Live Stream,Health,1581.0,7.0,4527.0,No,111,0
278,18,Male,Micro,5650396,Static Post,Fashion,881.0,3.0,1139.0,Yes,41,0
279,17,Female,Macro,9301940,Live Stream,Home,2233.0,4.0,3591.0,No,143,1
280,24,Male,Mega,2182752,Carousel,Health,3685.0,7.0,4714.0,Yes,85,1
281,17,Male,Micro,136513,Static Post,Tech,3893.0,3.0,4714.0,No,117,0
282,17,Female,Macro,8500923,TikTok/Reels,Fashion,4707.0,10.0,2673.0,N,14,0
283,18,Male,Mega,4083564,Live Stream,Home,1082.0,10.0,4530.0,Yes,54,0
284,21,Male,Macro,4739707,TikTok/Reels,Home,4781.0,2.0,1545.0,Yes,81,1
285,18,Female,Celebrity,5855572,Live Stream,Home,841.0,10.0,2843.0,Yes,96,1
286,23,Female,Micro,3888239,Carousel,Beauty,4643.0,7.0,4667.0,Yes,40,1
287,15,Male,Micro,669975,Static Post,Beauty,4782.0,5.0,265.0,Yes,85,1
288,22,Female,Macro,9332479,Live Stream,Fashion,4454.0,1.0,101.0,Y,122,0
289,21,Male,Micro,6010536,Static Post,Tech,3707.0,10.0,2756.0,No,66,1
290,16,Female,Macro,133053,Live Stream,Fashion,3370.0,8.0,3973.0,Yes,41,0
291,22,Female,Micro,5433561,Live Stream,Tech,2609.0,3.0,1534.0,Yes,175,0
292,15,Female,Micro,4155087,Carousel,Health,4109.0,7.0,2269.0,Yes,136,0
293,25,Female,Micro,6169950,Live Stream,Home,192.0,6.0,2962.0,Y,46,0
294,26,Male,Micro,5728961,TikTok/Reels,Home,1474.0,10.0,2483.0,No,23,0
295,23,Female,Macro,11728,Live Stream,Beauty,1230.0,6.0,,Yes,136,1
296,23,Male,Macro,5087588,Live Stream,Health,2615.0,,4735.0,No,123,1
297,16,Male,Micro,6114223,Live Stream,Health,189.0,4.0,2992.0,Y,53,0
298,21,Male,Micro,2316574,Carousel,Tech,1578.0,4.0,4429.0,Yes,101,1
299,24,Male,Micro,2920798,Static Post,Health,1053.0,3.0,906.0,Yes,69,0
300,17,Female,Micro,9428575,Static Post,Beauty,2530.0,1.0,1581.0,Yes,68,0
301,21,Female,Mega,8578615,Carousel,Tech,121.0,10.0,1604.0,No,4,1
